"","STATION","NAME","year","month","day","TAVG","TMAX","TMIN","AWND","PRCP","SNOW","SNWD"
"1","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,1,57,66,53,4.7,0.44,0,0
"2","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,2,60,63,46,9.62,0.13,0,0
"3","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,3,38,46,25,14.54,0.99,6.9,0
"4","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,4,30,34,23,5.82,0,0,7.1
"5","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,5,34,41,27,8.95,0,0,3.9
"6","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,6,40,44,36,7.61,0,0,2
"7","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,7,32,36,25,12.3,0.19,2.6,3.1
"8","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,8,27,33,22,7.61,0,0,1.2
"9","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,9,35,47,30,10.74,0.58,0,0
"10","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,10,38,44,28,14.54,0,0,0
"11","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,11,27,30,22,9.84,0,0,0
"12","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,12,32,47,23,9.62,0,0,0
"13","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,13,39,52,31,2.91,0,0,0
"14","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,14,43,50,34,14.76,0,0,0
"15","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,15,29,34,20,12.97,0,0,0
"16","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,16,22,40,17,12.75,0.9,2.6,0
"17","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,17,37,42,34,17.22,0.02,0,1.2
"18","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,18,37,42,30,9.84,0,0,0
"19","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,19,39,55,30,11.41,0.03,0,0
"20","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,20,42,46,27,10.51,0.28,0,0
"21","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,21,25,27,19,13.42,0,0,0
"22","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,22,24,34,16,7.38,0,0,0
"23","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,23,31,40,24,5.59,0,0,0
"24","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,24,36,41,31,7.83,0,0,0
"25","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,25,39,51,30,9.62,0,0,0
"26","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,26,30,35,24,10.51,0,0,0
"27","USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2022,1,27,27,36,20,6.26,0,0,0
